cycle,old_mag,new_mag,old_phase,new_phase,old_freq,new_freq,old_rocof,new_rocof,old_dft_real,new_dft_real,old_dft_imag,new_dft_imag
1,1156014,578106,13143,13143,0,0,0,0,-69163,-34465,2054019,1027189
2,1156011,578105,13163,13161,0,3279479,0,0,-73996,-36871,2053847,1027104
3,1156028,578111,13181,13181,0,3279479,0,0,-78803,-39277,2053695,1027028
4,1156000,578103,13201,13199,3278073,3279479,0,0,-83594,-41682,2053459,1026917
5,1156016,578103,13219,13219,3277946,3279479,0,0,-88385,-44076,2053288,1026817
6,1156016,578116,13239,13239,3278073,3279479,205677400,0,-93184,-46468,2053073,1026735
7,1156023,578113,13259,13257,3277946,3279479,-41773750,0,-97982,-48868,2052862,1026617
8,1156020,578107,13277,13277,3278073,3279479,-6350,0,-102779,-51265,2052620,1026492
9,1156021,578107,13297,13295,3278073,3279479,6350,0,-107578,-53661,2052380,1026367
10,1156012,578106,13315,13315,3277946,3279479,-6350,0,-112383,-56071,2052106,1026236
11,1156016,578110,13335,13333,3278073,3279479,6350,0,-117182,-58455,2051846,1026111
12,1156025,578111,13355,13353,3277946,3279479,0,0,-121975,-60864,2051582,1025974
13,1156017,578099,13373,13373,3278073,3279479,-6350,0,-126756,-63246,2051276,1025810
14,1156014,578101,13393,13391,3278073,3279235,6350,-12200,-131572,-65660,2050967,1025660
